date,AVERAGE(col2),MAXIMUM(col2),MINIMUM(col2),count()
8/28/2010,403.0,403,403,1
8/29/2010,207.0,263,135,4
8/30/2010,450.55555555555554,589,229,9
8/31/2010,392.6666666666667,486,343,6
9/1/2010,141.375,247,57,8
9/2/2010,201.16666666666666,291,135,6
9/3/2010,176.9090909090909,254,103,11
9/4/2010,185.2,242,150,5
9/5/2010,188.5,344,123,4
9/6/2010,150.0,213,87,2
9/7/2010,133.5,194,104,4
9/8/2010,210.33333333333334,238,177,3
9/9/2010,226.0,236,216,2
9/10/2010,107.0,127,69,4
9/11/2010,103.0,131,75,2
9/12/2010,124.25,249,61,4
9/13/2010,166.8,188,129,5
9/14/2010,193.14285714285714,338,50,7
9/15/2010,186.6,269,132,5
9/16/2010,132.5,171,96,4
9/17/2010,168.14285714285714,253,63,7
9/18/2010,156.0,190,91,6
9/19/2010,196.0,291,81,4
9/20/2010,220.66666666666666,345,115,6
9/21/2010,133.75,218,58,4
9/22/2010,236.0,236,236,1
9/23/2010,132.33333333333334,228,63,6
9/24/2010,176.6,278,97,5
9/25/2010,159.85714285714286,247,45,7
9/26/2010,204.0,262,146,2
9/27/2010,146.5,169,124,2
